,Movie_Name,Star1,Star2,Star3,Star4,Votes,Genre1,Genre2,Genre3,Gross_Collection,Popularity,Certification
694,Zombieland: Double Tap,Woody Harrelson,Jesse Eisenberg,Emma Stone,Abigail Breslin,"189,030",Action,Horror,Horror,122810399,"2,016",R
695,Blade II,Wesley Snipes,Kris Kristofferson,Ron Perlman,Leonor Varela,"225,661",Action,Sci-Fi,Sci-Fi,155010032,"2,047",R
696,Tron,Jeff Bridges,Bruce Boxleitner,David Warner,Cindy Morgan,"125,129",Action,Sci-Fi,Sci-Fi,33000525,"2,048",PG
697,Demolition Man,Sylvester Stallone,Wesley Snipes,Sandra Bullock,Nigel Hawthorne,"184,123",Action,Thriller,Thriller,58055768,"2,077",R
698,The Matrix Revolutions,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Hugo Weaving,"525,761",Action,N/A,N/A,427344325,"2,093",R
699,Escape Plan,Sylvester Stallone,Arnold Schwarzenegger,50 Cent,Vincent D'Onofrio,"249,736",Action,N/A,N/A,137328301,"2,108",R
700,2 Guns,Denzel Washington,Mark Wahlberg,Paula Patton,Bill Paxton,"218,760",Action,N/A,N/A,131940411,"2,128",R
701,Angels & Demons,Tom Hanks,Ewan McGregor,Ayelet Zurer,Stellan Skarsgård,"300,770",Action,Thriller,Thriller,485930816,"2,382",PG-13
702,Out of the Furnace,Christian Bale,Casey Affleck,Zoe Saldana,Woody Harrelson,"120,582",Action,Drama,Drama,15661554,"2,551",R
703,Pandorum,Dennis Quaid,Ben Foster,Cam Gigandet,Antje Traue,"154,906",Action,Mystery,Mystery,20648328,"2,777",R
704,Hot Shots!,Charlie Sheen,Cary Elwes,Valeria Golino,Lloyd Bridges,"112,302",Action,N/A,N/A,181096164,"3,061",PG-13
705,Colors,Sean Penn,Robert Duvall,Maria Conchita Alonso,Randy Brooks,"28,208",Action,Drama,Drama,46616067,"3,197",R
706,The Living Daylights,Timothy Dalton,Maryam d'Abo,Jeroen Krabbé,Joe Don Baker,"102,131",Action,Thriller,Thriller,51220430,"3,216",PG
707,Live and Let Die,Roger Moore,Yaphet Kotto,Jane Seymour,Clifton James,"111,214",Action,Thriller,Thriller,35382710,"3,225",PG
708,Wyatt Earp,Kevin Costner,Dennis Quaid,Gene Hackman,David Andrews,"53,067",Action,Biography,Biography,25052000,"3,238",PG-13
709,Absolute Power,Clint Eastwood,Gene Hackman,Ed Harris,Laura Linney,"57,880",Action,Drama,Drama,50068310,"3,241",R
